category,sleep,recovery,body,set,reps,weights,Duration
loss,3,4,0,3,18,13,20
fit,1,4,0,2,15,5,14
gain,1,3,1,2,9,22,24
fit,1,2,1,2,10,8,14
gain,1,1,1,0,8,2,14
loss,1,1,0,2,0,6,17
loss,1,3,0,2,20,7,14
gain,1,5,0,2,0,10,25
fit,1,1,1,2,13,2,16
gain,1,4,0,2,20,8,15
loss,2,4,1,3,13,2,16
loss,1,5,0,2,7,5,37
gain,4,4,1,3,20,22,36
fit,1,2,1,2,20,16,31
gain,4,2,1,2,13,13,17
fit,1,1,0,0,1,0,0
loss,1,1,0,2,12,0,13
gain,1,3,1,2,13,13,33
fit,1,1,1,3,14,5,13
fit,1,2,0,0,16,12,23
gain,4,4,0,2,3,22,19
gain,4,3,1,2,10,22,37
gain,1,2,0,0,9,6,2
fit,4,4,1,0,16,12,19
loss,1,1,0,2,14,7,14
fit,2,4,0,2,20,17,25
fit,4,1,1,3,6,6,23
fit,1,4,0,0,16,14,18
gain,1,2,1,2,3,19,19
gain,1,3,1,2,20,8,32
gain,4,2,1,2,12,22,32
loss,3,4,1,0,20,16,25
fit,1,3,0,0,13,8,13
loss,1,1,0,0,0,0,14
fit,1,2,0,0,0,0,0
loss,2,4,0,0,4,3,20
gain,4,5,0,2,20,15,14
loss,4,3,1,0,15,8,15
gain,4,5,0,3,10,12,21
fit,4,2,0,0,9,1,15
fit,1,4,0,2,20,8,18
gain,1,4,1,2,4,18,20
loss,1,3,0,2,5,4,12
gain,4,4,0,0,11,7,20
gain,4,3,0,2,20,22,4
fit,1,2,0,2,3,12,0
gain,4,1,0,3,18,20,0
gain,1,1,0,2,0,2,0
gain,1,3,1,2,12,20,31
gain,4,3,1,2,14,10,20
loss,1,3,0,2,15,0,0
fit,1,4,0,0,17,8,15
gain,1,3,0,2,20,14,27
fit,1,1,0,0,14,2,13
gain,1,3,1,3,9,22,19
gain,1,5,1,2,11,19,18
gain,1,3,1,0,5,12,19
fit,1,4,1,2,20,5,0
fit,4,4,1,2,19,17,22
gain,1,3,0,2,17,10,20
gain,1,5,1,3,19,22,27
gain,4,4,0,1,4,13,21
loss,1,3,0,0,1,7,14
loss,1,4,0,3,14,0,0
gain,3,1,1,2,12,3,14
fit,1,1,0,0,9,0,0
loss,1,5,1,3,17,8,23
loss,1,4,1,2,18,0,0
gain,3,3,1,2,17,10,14
fit,1,5,0,2,13,3,27
fit,1,3,0,2,18,12,31
gain,4,1,1,0,11,18,17
fit,2,4,0,3,20,8,7
gain,1,4,1,2,2,22,22
loss,1,4,1,2,4,0,17
fit,1,1,0,0,3,0,15
fit,1,2,0,2,16,8,14
gain,4,2,0,2,19,10,27
fit,4,5,0,2,18,17,29
loss,1,3,0,2,5,4,0
fit,1,2,0,3,16,13,25
loss,1,4,1,2,11,9,16
loss,1,5,0,2,20,11,27
fit,2,5,0,0,9,8,18
fit,1,2,0,2,8,13,0
fit,1,1,0,0,3,2,15
fit,4,4,1,2,20,6,12
fit,4,5,1,2,20,9,24
gain,1,1,1,2,0,6,11
loss,1,2,0,0,0,0,15
gain,1,3,0,2,17,10,21
gain,1,4,0,2,13,6,13
loss,1,3,0,2,17,3,23
fit,1,5,0,2,2,7,17
loss,1,2,0,2,2,0,19
loss,1,4,1,2,19,0,14
loss,4,3,1,2,16,11,15
loss,4,5,0,2,20,7,24
fit,4,5,1,0,16,15,20
gain,4,1,0,2,0,20,0
gain,4,3,1,3,18,10,20
gain,1,5,1,3,16,16,30
gain,4,4,0,2,1,14,19
loss,1,5,0,2,20,17,18
gain,2,4,1,2,7,0,0
gain,1,1,1,2,13,13,26
loss,4,1,0,1,6,3,1
loss,1,5,1,2,17,11,21
loss,4,4,1,2,17,15,21
gain,4,2,1,2,4,10,0
loss,3,2,0,3,17,11,4
gain,4,4,1,3,20,6,14
gain,4,1,0,2,2,11,0
gain,4,4,1,3,17,22,38
gain,4,4,0,3,15,22,24
fit,1,4,0,2,20,11,24
fit,1,4,0,2,20,4,17
gain,1,2,1,2,13,7,0
loss,4,5,0,2,20,12,20
loss,1,2,0,3,9,0,14
gain,1,3,1,2,11,3,16
loss,1,2,0,2,2,0,14
gain,4,2,1,2,15,10,16
fit,1,5,0,2,20,7,0
fit,3,5,0,2,18,22,34
gain,1,1,0,2,16,7,16
fit,1,4,0,2,20,7,19
loss,1,3,1,2,13,6,0
fit,4,5,0,2,20,11,19
loss,1,1,1,2,4,2,15
fit,1,4,0,2,11,7,0
gain,3,4,0,3,12,16,27
gain,4,5,1,3,16,14,21
gain,1,4,1,3,15,13,16
gain,1,4,1,2,20,20,13
gain,4,5,1,2,20,22,38
fit,4,2,0,2,0,0,13
gain,1,4,1,2,10,4,0
loss,4,1,0,2,20,10,25
fit,1,5,0,2,20,14,29
gain,4,3,1,2,11,22,21
fit,1,3,0,2,0,1,17
loss,1,3,1,2,20,14,17
fit,4,4,0,0,16,4,14
gain,3,1,0,2,0,5,26
gain,3,5,1,3,20,22,40
loss,1,4,1,2,10,3,0
fit,4,3,0,3,19,22,33
gain,1,2,0,3,18,5,17
gain,4,4,0,2,17,11,19
loss,1,5,0,2,7,7,17
gain,1,1,0,2,0,11,0
loss,1,3,1,2,20,10,25
gain,1,4,1,0,16,3,10
fit,1,1,0,2,19,2,0
loss,4,2,1,2,0,4,28
loss,3,1,1,2,16,7,19
loss,1,4,0,2,11,5,14
fit,1,2,0,2,0,4,15
fit,1,2,0,3,14,9,0
fit,1,4,0,2,16,6,24
fit,4,2,1,3,16,22,35
loss,1,5,0,2,20,7,24
loss,1,2,1,0,8,1,13
fit,1,4,0,0,12,10,14
gain,1,2,1,0,9,6,21
gain,3,2,0,2,2,22,37
fit,1,4,1,2,12,5,16
fit,4,2,0,3,15,11,20
gain,1,5,1,2,20,12,23
loss,3,4,1,2,13,13,17
loss,1,4,0,2,14,2,22
gain,1,5,1,3,15,22,34
fit,3,4,1,2,20,10,13
gain,1,5,1,0,5,12,37
loss,1,4,0,2,20,3,17
fit,1,3,1,2,12,4,17
gain,1,4,1,2,0,16,18
gain,4,1,0,0,9,6,0
loss,4,5,1,2,17,8,25
loss,1,3,0,2,14,7,20
fit,1,4,0,2,16,9,20
fit,4,1,0,0,7,8,0
gain,1,4,1,2,9,10,19
gain,1,4,1,0,0,9,12
loss,1,2,0,2,12,0,12
gain,1,5,1,3,15,12,19
gain,4,1,1,0,0,0,0
loss,1,5,0,2,20,8,23
gain,1,4,0,2,5,16,21
gain,4,5,0,0,9,12,17
fit,2,4,0,2,5,10,2
loss,1,4,1,2,15,14,27
loss,2,3,1,0,14,5,14
gain,3,3,0,3,20,22,23
fit,1,1,1,2,0,11,14
gain,1,4,1,2,19,19,15
fit,4,3,1,2,16,13,25
gain,4,4,0,3,0,11,18
fit,4,5,1,2,14,4,19
gain,1,5,0,2,15,11,14
gain,4,5,1,0,15,20,31
fit,4,2,0,0,0,3,0
loss,1,5,0,2,17,9,19
fit,1,3,0,2,14,9,13
fit,1,3,0,0,19,7,15
gain,1,2,1,2,2,10,21
loss,1,2,0,2,20,4,17
gain,3,2,1,3,18,22,20
loss,4,5,1,2,20,22,36
fit,4,2,1,3,9,16,28
loss,1,1,0,2,4,0,14
fit,1,3,0,2,20,11,15
fit,4,2,1,0,16,10,19
loss,1,3,0,3,11,7,14
fit,1,1,0,2,5,3,0
loss,4,2,1,0,16,19,0
gain,2,5,0,0,18,8,22
fit,1,5,0,2,10,10,15
gain,1,5,1,2,19,19,27
fit,1,1,0,0,0,17,14
gain,2,4,0,3,20,13,28
fit,1,4,0,2,19,2,14
fit,2,4,0,2,10,9,0
gain,1,5,1,2,16,22,23
fit,1,2,0,2,20,3,15
gain,1,1,1,2,12,22,22
fit,4,3,1,3,20,19,33
gain,4,4,1,3,11,22,23
gain,2,5,0,0,19,13,25
gain,4,4,0,0,5,17,15
fit,1,1,0,2,20,13,26
gain,4,5,0,2,14,22,33
gain,1,3,0,0,8,6,16
loss,1,3,1,2,12,7,16
fit,1,2,0,2,12,9,15
gain,1,4,0,2,19,10,21
gain,1,1,0,0,0,6,0
gain,2,5,1,2,4,8,14
gain,4,2,1,0,1,21,32
gain,4,3,0,3,16,11,28
loss,1,2,0,0,0,0,0
fit,2,3,1,0,8,11,24
gain,1,2,1,2,13,19,19
loss,1,4,0,0,8,10,21
loss,4,5,0,0,8,12,17
gain,4,5,1,0,15,16,32
gain,4,5,1,2,5,13,18
fit,1,5,1,2,5,9,13
gain,4,5,1,2,15,22,22
loss,1,3,1,2,20,7,18
gain,1,1,1,0,11,22,25
fit,1,1,1,3,20,13,19
loss,4,2,0,2,20,6,20
loss,1,1,0,2,13,10,11
fit,1,3,0,2,16,10,19
gain,4,5,0,3,11,22,37
gain,1,5,1,2,18,22,23
gain,2,4,0,0,0,2,0
loss,2,4,1,2,20,7,15
gain,1,4,1,3,19,22,21
fit,4,2,1,3,3,16,21
gain,4,3,0,0,12,4,17
loss,1,4,1,2,10,4,0
loss,4,2,0,0,16,13,16
loss,1,5,0,2,9,6,17
loss,1,2,0,2,10,4,14
gain,1,5,1,0,18,14,29
gain,1,5,0,2,14,9,15
loss,1,5,1,2,8,7,15
loss,1,3,0,0,8,0,19
loss,1,1,1,2,0,0,13
fit,1,4,1,2,18,9,17
loss,1,4,0,2,19,8,22
gain,4,4,0,3,18,16,36
gain,4,3,1,0,12,22,23
loss,1,5,0,2,10,8,13
gain,4,2,1,3,15,11,20
loss,4,1,1,0,0,11,24
fit,1,5,0,0,14,8,14
fit,1,2,0,0,7,1,14
loss,1,4,1,2,20,7,27
gain,4,5,1,2,16,12,16
gain,4,5,0,2,16,22,40
loss,1,3,1,2,20,11,25
gain,1,1,1,0,3,4,21
gain,1,4,1,2,12,10,15
loss,1,4,1,2,17,11,0
gain,3,1,1,0,0,4,2
loss,1,5,0,2,17,9,15
fit,1,5,0,2,8,8,14
fit,1,3,0,0,0,1,0
gain,4,5,0,3,19,22,23
loss,1,3,0,2,20,2,18
fit,1,3,0,3,16,5,23
fit,1,2,0,0,9,0,16
loss,1,1,0,0,3,3,14
gain,1,3,1,2,16,12,20
fit,1,4,0,2,14,5,14
gain,4,5,0,0,12,22,20
loss,1,4,0,2,15,4,15
fit,1,2,0,2,17,8,13
fit,4,3,1,2,20,10,19
gain,4,4,1,2,17,13,27
gain,4,5,1,2,11,12,25
loss,1,3,0,2,14,0,23
loss,4,4,1,0,20,14,23
fit,4,4,0,0,20,16,39
gain,3,2,0,2,6,8,18
gain,1,5,1,0,20,22,32
gain,4,2,0,3,19,22,39
fit,4,4,0,2,18,11,17
gain,4,2,1,2,10,14,22
fit,2,4,1,0,6,6,15
loss,2,2,1,2,9,15,21
fit,4,4,0,0,16,8,27
gain,4,2,1,2,2,0,21
gain,4,3,1,2,15,9,24
gain,2,1,1,0,15,4,0
fit,4,5,0,2,20,16,23
loss,1,4,1,2,20,7,17
fit,1,1,0,2,15,1,20
loss,4,3,0,2,8,6,26
gain,1,1,0,0,0,3,0
fit,4,1,0,0,18,12,15
gain,1,5,0,2,18,13,16
gain,1,4,1,3,0,9,8
gain,1,1,1,0,4,0,0
gain,1,4,0,0,12,12,14
gain,1,1,1,3,3,0,0
loss,4,5,0,2,14,16,9
gain,1,1,1,3,0,1,0
loss,1,1,1,2,17,12,21
loss,1,4,0,2,16,0,17
gain,4,2,0,2,20,21,20
fit,1,1,0,2,16,9,0
fit,1,1,0,1,3,5,16
gain,4,4,1,3,19,22,35
gain,4,3,0,2,16,6,0
fit,1,3,0,0,0,0,0
loss,2,1,0,0,5,5,0
gain,4,1,0,3,6,20,0
gain,1,5,0,0,10,14,0
loss,1,4,0,0,13,5,23
fit,4,5,0,3,18,13,28
gain,1,4,0,1,11,20,18
fit,4,2,0,2,17,14,27
loss,1,1,0,2,8,2,16
loss,1,1,0,2,0,4,13
loss,1,4,0,2,15,6,20
loss,1,4,0,2,14,4,25
gain,3,1,0,2,2,6,0
fit,4,5,1,2,19,22,22
loss,1,4,0,2,3,9,0
fit,1,4,0,2,17,7,18
gain,1,4,0,0,15,11,16
gain,1,4,0,0,1,10,0
loss,1,3,0,2,16,10,17
loss,2,4,0,0,18,0,18
fit,1,1,0,3,14,8,0
loss,1,5,0,3,3,13,13
loss,4,3,1,0,17,7,17
loss,1,1,0,0,1,0,17
loss,1,3,1,2,13,0,17
loss,3,5,0,2,12,10,0
gain,1,2,0,0,0,5,19
fit,1,2,0,2,9,5,18
fit,1,4,0,0,0,4,22
loss,1,3,0,2,17,0,14
fit,1,4,0,0,7,0,14
loss,1,4,1,2,20,12,13
gain,1,5,1,2,10,12,20
gain,4,4,0,0,2,11,15
